freq_Hz,relerr_A,relerr_B,relerr_C_unw,relerr_D_weighted
8.918375e+07,7.956194e-01,2.177727e-01,1.585086e-02,1.139457e-02
9.326766e+07,7.926467e-01,2.085046e-01,1.425989e-02,9.833106e-03
9.753859e+07,7.898568e-01,2.011271e-01,1.287390e-02,8.569020e-03
1.020051e+08,7.878526e-01,1.950742e-01,1.167629e-02,7.563713e-03
1.066761e+08,7.868649e-01,1.899161e-01,1.064395e-02,6.778743e-03
1.115611e+08,7.869241e-01,1.853488e-01,9.753647e-03,6.179623e-03
1.166697e+08,7.879621e-01,1.811658e-01,8.984499e-03,5.736265e-03
1.220122e+08,7.898684e-01,1.772299e-01,8.318599e-03,5.422340e-03
1.275994e+08,7.925195e-01,1.734520e-01,7.740838e-03,5.214613e-03
1.334425e+08,7.957937e-01,1.697752e-01,7.238491e-03,5.092607e-03
1.395531e+08,7.995776e-01,1.661643e-01,6.800767e-03,5.038534e-03
1.459435e+08,8.037695e-01,1.625989e-01,6.418417e-03,5.037310e-03
1.526266e+08,8.082798e-01,1.590681e-01,6.083424e-03,5.076483e-03
1.596157e+08,8.130306e-01,1.555679e-01,5.788768e-03,5.146029e-03
1.669249e+08,8.179551e-01,1.520983e-01,5.528258e-03,5.238051e-03
1.745687e+08,8.229966e-01,1.486623e-01,5.296415e-03,5.346428e-03
1.825626e+08,8.281076e-01,1.452643e-01,5.088391e-03,5.466473e-03
1.909225e+08,8.332483e-01,1.419101e-01,4.899915e-03,5.594627e-03
1.996653e+08,8.383865e-01,1.386055e-01,4.727246e-03,5.728206e-03
2.088084e+08,8.434959e-01,1.353565e-01,4.567141e-03,5.865196e-03
2.183701e+08,8.485557e-01,1.321690e-01,4.416821e-03,6.004086e-03
2.283698e+08,8.535496e-01,1.290483e-01,4.273935e-03,6.143747e-03
2.388273e+08,8.584655e-01,1.259992e-01,4.136532e-03,6.283337e-03
2.497637e+08,8.632941e-01,1.230258e-01,4.003023e-03,6.422221e-03
2.612010e+08,8.680291e-01,1.201318e-01,3.872146e-03,6.559920e-03
2.731619e+08,8.726660e-01,1.173198e-01,3.742933e-03,6.696062e-03
2.856706e+08,8.772022e-01,1.145922e-01,3.614672e-03,6.830354e-03
2.987521e+08,8.816357e-01,1.119504e-01,3.486881e-03,6.962547e-03
